,Summary Text,Polarity
0,Activision Blizzard: US seeks to block Microsoft's $69bn acquisition https://t.co/Ux5UgXRiUe,0.0
1,The moment released prisoners Brittney Griner and Viktor Bout cross on airport tarmac https://t.co/7MGwz1SQNz,0.0
2,Putin vows to continue hitting Ukraine's power grid https://t.co/IwYTmlLT2A,0.0
3,EuroMillions jackpot: Syndicate of 165 Belgians wins €143m https://t.co/8UTjXblagR,0.3
4,Pope breaks down in tears over war in Ukraine https://t.co/TNJ1U1p6lP,-0.15555555555555559
5,Footballer Victor Wanyama reverses international retirement for Kenya https://t.co/26Q7T8iklF,0.0
6,DNA helps US police name young boy found dead in a box after 65 years https://t.co/RDn5xOlKpn,-0.05
7,Ireland to return mummified remains to Egypt https://t.co/RaHtFlkS6c,0.0
8,Chief executive of the Qatar World Cup chief criticised for migrant worker death comments https://t.co/ZeegW37upt,0.0
9,Peru swears in first female president Dina Boluarte https://t.co/4WLLzMnerY,0.125
10,Remarkable space blast identified as black hole collision https://t.co/7cU3bpBRqu,0.2916666666666667
11,The most Googled word globally and in the US in 2022 is revealed https://t.co/HagX83lTSy,0.25
12,"Risk of Russia using nuclear weapons has lessened, says German Chancellor Olaf Scholz https://t.co/I8amNvW81M",0.0
13,South Koreans set to become one or two years younger as age system standardised https://t.co/WfyZlwA5Kt,0.0
14,Working in extreme heat puts strain on foetus https://t.co/SHZoLkvQwR,-0.125
15,Peru's political whirlwind in three moments https://t.co/lG9NwWftte,0.0
16,What we know so far after Prince Harry and Meghan release first episodes of Netflix series ⬇,0.175
17,RT @BBCBreaking: US citizen Anne Sacoolas given eight month suspended sentence for causing death of teenage motorcyclist Harry Dunn in Nort…,0.0
18,Who is the freed US basketball star Brittney Griner? https://t.co/kvbg2t9iZd,0.0
19,"Elon Musk turns Twitter into ""hotel"" for staff https://t.co/eDPGblG9Ky",0.0
20,"Wife of Brittney Griner says ""family is whole"" after release of US basketball player from Russian prison https://t.co/fI1OV02lqj",0.1
21,"""We never stopped pushing for her release""

US President Biden speaks following release of basketball star Brittney Griner https://t.co/SkvedLIPPB",0.0
22,"Prince Harry says he sacrificed ""everything that I know"" to join Meghan's ""world"" https://t.co/UNkeVpflUp",0.0
23,"M23 rebels executed over 130 civilian in the Democratic Republic of Congo, UN investigation finds https://t.co/hxs4f3npj7",0.0
24,"Global talks under way in Montreal ""last chance"" to reverse destruction of nature, warns UN biodiversity chief https://t.co/9PDYbWU2vt",0.0
25,Wirecard trial of executives opens in German fraud scandal https://t.co/Gpu3JfGbqo,0.0
26,US state Arkansas elects youngest black mayor in US https://t.co/sbvAqkWVoL,-0.16666666666666666
27,"RT @BBCBreaking: US basketball star Brittney Griner freed by Russia in prisoner swap deal for ""Merchant of Death"" arms dealer Viktor Bout h…",0.0
28,Celine Dion scraps tour dates as she reveals incurable health condition https://t.co/NbehuG8g1w,-0.5
29,"Rare 100-million-year-old fossil discovered by four friends in the Australian Outback

https://t.co/wUDWvOBHMo https://t.co/hXQlam8PU9",0.15
30,Remarkable space blast identified as black hole collision https://t.co/94gii6VTV0,0.2916666666666667
31,"Prince Harry discusses what he says is a ""huge level of unconscious bias"" in the Royal Family

⬇️ Follow for the latest",0.45000000000000007
32,The most Googled word globally and in the US in 2022 is revealed https://t.co/rrZqQJ6jTE,0.25
33,"""So much of what Meghan is, and how she is, is so similar to my mum”

Prince Harry draws comparisons between Meghan and Diana in Netflix series",0.1
34,Peru's ousted president detained by police in Lima https://t.co/1IjRGHi6li,0.0
35,"Prince Harry says he sacrificed ""everything that I know"" to join Meghan's ""world"" https://t.co/TKqMaaXdKX",0.0
36,Iran carries out first execution over anti-government protests https://t.co/IJH3IXy2mM,0.25
37,Netflix releases first Harry &amp; Meghan episodes https://t.co/YwflLhhF2O,0.25
38,Why this Trump loyalist is willing to serve months in Rikers prison https://t.co/eS5c1RkUxt,0.25
39,TikTok sued by US state over security and safety concerns https://t.co/DnrXygwWHG,0.0
40,Harry and Meghan Netflix series launches amid controversy https://t.co/u0chc3bMmS,0.0
41,The most Googled word globally and in the US in 2022 is revealed https://t.co/E3r39XOTKO,0.25
42,Anger and fear in Australia as Bali bomber freed https://t.co/vNK7jTBEqp,-0.7
43,Remarkable space blast identified as black hole collision https://t.co/VXuYD0mwRj,0.2916666666666667
44,"Elon Musk turns Twitter into ""hotel"" for staff https://t.co/Uy3GvIgg6b",0.0
45,World Cup 2022: Could Morocco win for Africa? https://t.co/Q4pOB0zqPo,0.8
46,‘Doctors fitted a contraceptive coil without my consent’ https://t.co/OTLg6lHzai,0.0
47,Sri Lanka crisis: The children going hungry as food prices soar https://t.co/iXFGpI6kYs,0.0
48,Indonesia 'sex ban': Criminal code changes threaten other freedoms https://t.co/iGgaN3K8wQ,-0.2625
