,Tweet Text,Likes,Time
0,EU ministers welcome Croatia to border-free zone but reject Romania and Bulgaria https://t.co/6e4JYrkRBw,70,2022-12-08 21:30:04+00:00
1,"NFL and Washington Commanders covered up sexual misconduct, says US report https://t.co/edet4JSUyR",50,2022-12-08 21:25:08+00:00
2,"Pope breaks down in tears over war in Ukraine
https://t.co/cFfhR1Fae4 https://t.co/tsWoxw2Ppo",348,2022-12-08 20:59:03+00:00
3,Activision Blizzard: US seeks to block Microsoft's $69bn acquisition https://t.co/Ux5UgXRiUe,106,2022-12-08 20:54:02+00:00
4,The moment released prisoners Brittney Griner and Viktor Bout cross on airport tarmac https://t.co/7MGwz1SQNz,156,2022-12-08 20:41:36+00:00
5,Putin vows to continue hitting Ukraine's power grid https://t.co/IwYTmlLT2A,211,2022-12-08 20:26:01+00:00
6,EuroMillions jackpot: Syndicate of 165 Belgians wins €143m https://t.co/8UTjXblagR,122,2022-12-08 20:04:40+00:00
7,Pope breaks down in tears over war in Ukraine https://t.co/TNJ1U1p6lP,682,2022-12-08 19:48:17+00:00
8,Footballer Victor Wanyama reverses international retirement for Kenya https://t.co/26Q7T8iklF,86,2022-12-08 18:46:12+00:00
9,DNA helps US police name young boy found dead in a box after 65 years https://t.co/RDn5xOlKpn,217,2022-12-08 18:21:31+00:00
10,Ireland to return mummified remains to Egypt https://t.co/RaHtFlkS6c,404,2022-12-08 17:59:01+00:00
11,Chief executive of the Qatar World Cup chief criticised for migrant worker death comments https://t.co/ZeegW37upt,107,2022-12-08 17:56:43+00:00
12,Peru swears in first female president Dina Boluarte https://t.co/4WLLzMnerY,425,2022-12-08 17:42:12+00:00
13,Remarkable space blast identified as black hole collision https://t.co/7cU3bpBRqu,273,2022-12-08 17:04:05+00:00
14,The most Googled word globally and in the US in 2022 is revealed https://t.co/HagX83lTSy,117,2022-12-08 16:45:04+00:00
15,"Risk of Russia using nuclear weapons has lessened, says German Chancellor Olaf Scholz https://t.co/I8amNvW81M",201,2022-12-08 16:33:03+00:00
16,South Koreans set to become one or two years younger as age system standardised https://t.co/WfyZlwA5Kt,249,2022-12-08 16:26:44+00:00
17,Working in extreme heat puts strain on foetus https://t.co/SHZoLkvQwR,123,2022-12-08 16:19:51+00:00
