,Summary Text,Polarity
0,"The FedEx driver accused of kidnapping and killing 7-year-old Athena Strand delivered her Christmas present – Barbie dolls – before the girl’s disappearance, her mother said. https://t.co/Ec5kNMNLN5",0.0
1,A Colorado judge on Thursday ordered the unsealing of the case file in the 2021 bomb threat arrest of the suspect in last month’s deadly shooting at an LGBTQ nightclub. https://t.co/ySQQ6t7PZ3,-0.08333333333333333
2,"Former President Donald Trump does not plan to appeal to the Supreme Court a lower court order that put an end to the special master review of documents seized from his Mar-a-Lago estate, a source says. https://t.co/4zUUDYLoya",0.17857142857142858
3,"The average rent in Manhattan was $5,249 in November, up 19% from last year and the third-highest amount on record. https://t.co/fIvZdexKrn",-0.075
4,"In a highly anticipated Netflix documentary, Prince Harry and Meghan, Duchess of Sussex, shared details of their early dating life and photos not yet seen by the public. https://t.co/UvuwpI5JX3",0.065
5,"Period underwear has become popular over the last few years, but does it work as well as single-use period products? Gynecologists weigh in on what you should know. https://t.co/9Mfqz7H94Y",0.13333333333333333
6,"Cats can cause allergic reactions and asthma for some people, but are often permitted to travel in the cabin of planes. https://t.co/EmM4PUxtvJ",0.0
7,"Police have publicly identified a boy found dead in a box in Philadelphia 65 years ago as four-year-old Joseph Augustus Zarelli, the victim of what police say is one of the city’s oldest unsolved homicides. https://t.co/pDplcOpGYG",-0.09166666666666667
8,Birdie the golden retriever pulled a fire alarm at doggie day care. CNN's Jeanne Moos reports she had to wear a naughty dog apology sign. https://t.co/PxHCVcyI4H,0.07499999999999998
9,"The Federal Trade Commission has sued to block Microsoft’s $69 billion acquisition of Activision Blizzard, challenging one of the largest tech acquisitions in history. https://t.co/YNjR8eVVC3",0.5
10,LeAnn Rimes is postponing some of her tour dates due to a bleed on her vocal cord https://t.co/552PtrZKSF,-0.125
11,"Hospitals are more full than they’ve been throughout the Covid-19 pandemic, according to a CNN analysis. But as respiratory virus season surges across the US, it’s more than Covid that’s filling beds this year. https://t.co/leyjCSxSED",0.45
12,The House has voted to pass sweeping legislation that would authorize $858 billion in national defense funding and rescind the US military’s Covid vaccine mandate. The measure now heads to the Senate. https://t.co/MGqyin646o,-0.1
13,"Lawmakers are demanding that Sam Bankman-Fried, the founder of failed crypto exchange FTX, appear before the Senate Banking Committee next week over ""significant unanswered questions."" https://t.co/lAm58Mh64S",-0.05625
14,News publishers are getting in on the TikTok trend. https://t.co/87x0t0hrnx,0.0
15,Actress Toni Collette and her husband Dave Galafassi are divorcing after 20 years of marriage. https://t.co/b5IxcJ1H9Z,0.0
16,"A former US Border Patrol agent charged with fatally shooting four women in and around the border city of Laredo, Texas, in 2018 was found guilty of capital murder for their killings. https://t.co/A9EKPIT7tt",-0.25
17,The House is expected to vote on Thursday to pass sweeping legislation that would authorize $858 billion in national defense funding and rescind the US military’s Covid vaccine mandate. https://t.co/3gElYw2Kqg,-0.1
18,"A federal judge has dismissed a lawsuit against reality TV star Kim Kardashian, boxing legend Floyd Mayweather Jr. and others over their role in promoting a cryptocurrency. https://t.co/Tz9YGdWrAQ",0.0
19,"Anne Sacoolas, the US citizen who caused the death of British teen Harry Dunn in a car crash, won't serve jail time after court handed her a suspended sentence. https://t.co/jjhCxdwVHv",-0.03333333333333333
20,Meet the extraordinary people who have become CNN Heroes. Join them on a special night full of stars. CNN Heroes An All-Star Tribute airs Sunday at 8 p.m. ET https://t.co/oHTBkstUyE,0.34682539682539676
21,"""I don't understand why I'm still sitting here,"" Paul Whelan, speaking from a Russian penal colony, tells CNN following Brittney Griner's release. https://t.co/evN7uZ34YA",0.0
22,"Qatar 2022 World Cup chief executive Nasser Al Khater told a reporter that “death is a natural part of life” in response to a question about the latest migrant worker death, but he did not address the circumstances around this incident. https://t.co/N1au189P03",0.3
23,"When Joshua Pettit posted a video of his 85-year-old mother with Alzheimer's on social media, he had no idea how the internet was going to react. It turns out, they couldn't get enough. https://t.co/D9JMoZfYEU",0.016666666666666666
