,Tweet Text,Likes,Time
0,"Madison Cawthorn delivers final House floor speech, calls on young men to 'reclaim your masculinity' https://t.co/sk5rXak50F",9,2022-12-01 16:50:06+00:00
1,GONE TO THE POLLS: Georgia voters are breaking records with early voting as Herschel Walker and Sen. Raphael Warnock are neck and neck in their fight to claim the Senate seat. https://t.co/sPKYDw2XLC https://t.co/qELWHJfkfm,99,2022-12-01 16:45:08+00:00
2,Netflix docuseries on Prince Harry and Meghan Markle teases first look into personal lives after royal split https://t.co/rDiiJNATfV,22,2022-12-01 16:45:06+00:00
3,"NYC liberals rip Adams' homelessness directive to forcibly hospitalize mentally ill living on streets, subways https://t.co/UW604Z9Roj",25,2022-12-01 16:45:06+00:00
4,FBI denies purging conservative employees in letter to Jim Jordan https://t.co/H3Rft5FwZ7,83,2022-12-01 16:39:56+00:00
5,WATCH: Georgia voters praise 'fighter' Herschel Walker ahead of Tuesday runoff election https://t.co/jZCOmhpDOz,252,2022-12-01 16:30:18+00:00
6,Prison inmate rap video shot in Michigan facility sparks investigation https://t.co/tOOFB5ZhaB,86,2022-12-01 16:20:07+00:00
7,Immigration hawks press GOP leaders to ‘take all actions necessary’ to block lame-duck amnesty push https://t.co/DlJ0G4bjfa,208,2022-12-01 16:10:06+00:00
8,US intelligence believes China protests will fail to spread: report https://t.co/ayjtAANGSC,174,2022-12-01 16:00:10+00:00
9,"Clyburn, hoping to continue in Dem leadership, faces high-profile challenger https://t.co/nDrlTDWoAN",59,2022-12-01 15:50:06+00:00
10,"Buddhist monk attacked, temple robbed in Nashville; police seeking 5 suspects https://t.co/6WaRkkQTNn",98,2022-12-01 15:40:06+00:00
11,10-year-old Wisconsin boy shoots his mother because she wouldn't buy him a VR headset https://t.co/3pjvgnpLCk,139,2022-12-01 15:35:03+00:00
12,"Sam Bankman-Fried grilled on being another Bernie Madoff, possible jail time https://t.co/xxE2hxCq48",251,2022-12-01 15:30:11+00:00
13,"Justice Department subpoenas filmmaker who documented Jan. 6, interviewed Trump https://t.co/XyZIQS8tmQ",109,2022-12-01 15:20:05+00:00
14,Dodge's muscle car is bringing back this old-school feature for one last time in 2023 https://t.co/0jMr11iErm,111,2022-12-01 15:10:02+00:00
15,Biden's gender transition proposal cements school-to-clinic pipeline https://t.co/qaymWWswhe,89,2022-12-01 15:05:06+00:00
16,Browns express excitement for Deshaun Watson return after QB's suspension over sex assault lawsuits https://t.co/fSwxFVb2mt,36,2022-12-01 15:00:14+00:00
17,21-year-old Vermont man charged with purchasing gun that was later found at the scene of a shootout https://t.co/ozKUX2XevJ,67,2022-12-01 14:50:04+00:00
18,Maryland judge drops murder charges against mother of 2 missing children https://t.co/EdJBq5f5A5,40,2022-12-01 14:40:03+00:00
19,Pentagon awards Raytheon $1.2B bid to supply Ukraine with advanced surface-to-air missile systems https://t.co/5m9omHcY2Y,264,2022-12-01 14:30:08+00:00
20,Christopher Keeley manhunt: Abandoned Jeep found in search for man suspected of killing Massachusetts couple https://t.co/iL0fL3hnVw,110,2022-12-01 14:20:07+00:00
21,"Weather in the West will be active, bringing snow and flooding hazards https://t.co/TnYEvYoOtR",75,2022-12-01 14:10:06+00:00
