,Summary Text,Polarity
0,Lawmakers rip Biden leaving Paul Whelan behind in Brittney Griner prisoner swap: 'It's shameful' https://t.co/sJ0uAYPrZX,-0.4
1,"BALL'S IN HER COURT: ""Welcome home Brittney Griner, America loves you,"" writes David Marcus. ""Standing for the 'Star Spangled Banner' would be a very welcome way to show that you love her back."" https://t.co/e0AC8oPqkt https://t.co/cWp2c4731x",0.575
2,Athena Strand murder: Texas sheriff pursuing death penalty for suspect Tanner Lynn Horner https://t.co/w58qC7kkf5,0.0
3,House committee report alleges Commanders' Dan Snyder instilled 'culture of fear' in 'toxic' workplace https://t.co/hFAT1scoA7,0.0
4,Jimmy Failla sounds off on ethics probe of AOC: 'Her real name is A-O-Me' https://t.co/XKU5gJiRq6,0.2
5,John Kerry says green energy transition isn't happening fast enough: 'Everything has to accelerate' https://t.co/pvjCQahwno,0.0
6,ABC condemned for handling of Robach-Holmes scandal: 'Busybody meddling' in consensual affair https://t.co/JOTJkU9cjJ,0.0
7,Idaho murders: Slain university students' neighbor says front door left wide open after attacks https://t.co/6DDilfjfRe,-0.03333333333333333
8,Boomer Esiason takes shot at Biden's prisoner swap for Brittney Griner: 'We look so pathetic' https://t.co/I7nKVMsS7s,-1.0
9,Christmas 2022: 11 gift ideas for the home https://t.co/4k0cwrrrcn,0.0
10,Iranian students take to streets joining striking business owners as Amini protests hit 83rd day https://t.co/lFnkkRmEbk,0.5
11,The 'only person' Biden could beat is Trump: Karl Rove doubts POTUS will be the Democrat nominee in 2024 https://t.co/POfhR2j7qs,0.0
12,FDA authorizes bivalent COVID-19 booster shots for children under 5 https://t.co/h5Mb8A8lRR,0.0
13,Ukraine calls on US to back tribunal to try Kremlin for war crimes https://t.co/5BR5qF924N,0.0
14,Best smart thermostats to keep you at the perfect temperature https://t.co/yLurQuoIop,0.7380952380952381
15,"Jim Baker, ousted Twitter lawyer and ex-FBI official involved in Russiagate, was a CNN analyst in between jobs https://t.co/3mdNM5Mfta",0.0
16,Houston City Hall to be lit up in honor of Brittney Griner https://t.co/aoVDIahvOo,0.0
17,"7 cartel members, 1 Mexican soldier killed in shootout near US border https://t.co/2JbU2wZwkG",-0.03333333333333333
18,Jimmie Allen and wife recount 1-year-old daughter’s health battle with RSV: ‘worst nightmare’ https://t.co/49CDL738vF,-1.0
19,"RNC Chair McDaniel says 'Twitter Files' release is 'tip of the iceberg,' calls for GOP unity ahead of 2024 https://t.co/g3SH0SLkx6",0.0
20,Brittney Griner is coming home. Will she stand for the anthem now that she's back in the USA? https://t.co/Iyu84buMUv,0.0
21,Family outrage: Divorced mom is devastated when teen son wants to spend Christmas with his dad https://t.co/t479QuTfps,0.1
22,Democrats re-elect Schumer as leader after expanding Senate majority to 51 https://t.co/H6vdFxaQl4,0.0
23,"'Yellowstone' actor Neal McDonough reflects on bonding with Kevin Costner, his devotion to faith: 'God first' https://t.co/uu1MhKyCMf",0.25
24,OPINION: Musk revealed extent of Hunter Biden censorship by releasing Twitter Files https://t.co/yyjiOxPfYi,0.0
25,"Pro-lifers outraged as Associated Press rejects 'fetal heartbeat,' 'late-term abortion' as valid terms https://t.co/E6AHC3lEm9",-0.9
26,New York Times staffers speak out against management amid strike: ‘We’re fighting for a fair contract’ https://t.co/aQhfmjJWsg,0.41818181818181815
27,Multiple states crack down on transgender treatments for minors amid growing legal debate https://t.co/0z5toWoSHp,0.014814814814814808
28,OnlyFans model Courtney Clenney hearing: Accused boyfriend killer denied bond https://t.co/fgTUczfcxT,0.0
29,"Anne Sacoolas, wife of US diplomat, gets suspended sentence after killing UK teen in crash https://t.co/JTbyx831WA",0.0
30,Incoming House Democrats want to abolish prisons: 'the world that we all deserve' https://t.co/tcaPV7AStR,0.0
31,"Mountain lion barges into California home, drags dog outside: video https://t.co/1mzYQZS8lp",0.0
32,"Texas launches task force with K9s, drones to stop illegal immigrant ‘gotaways’ amid spike in numbers https://t.co/iMqBjfNDCU",-0.5
33,McCarthy creates House China Select Committee to confront CCP threats https://t.co/mWFSjEBisy,0.0
34,"FBI probes North Carolina man for threatening to kill minorities, children and shooting a park ranger https://t.co/E3FTCXSOO4",0.0
35,"Chicago school at center of Project Veritas hit offers affinity groups for pre-K, says White kids can’t attend https://t.co/U19r32FeHG",0.0
36,Sabres' Tage Thompson nets 5 goals in blowout win over Blue Jackets https://t.co/reVWMrLr51,0.4
37,"American Girl accused of 'gaslighting children' with book about gender identity, transitioning https://t.co/6yThFHWPHt",0.0
38,Kathy Griffin laments being reinstated on Twitter after ban: It got too ‘Musky’ https://t.co/kBCL1T67B1,0.0
39,UK high court rules pro-life demonstrations can be banned from perimeter of abortion clinics https://t.co/qiQWUe85TR,0.16
40,Are there 'more important things' than President Biden visiting the border? People in Texas weigh in https://t.co/rWG78JdlIK,0.45
41,Pete Davidson returns to Instagram with Eli Manning in an unexpected joint account https://t.co/pDsEWPpEul,0.1
42,Rams' Bobby Wagner avoids charges for hit on protester https://t.co/1H8Et4QdFl,0.0
43,"Notorious cartel hit man disappears from US prison system, leaving Mexico dumbfounded https://t.co/5rlta2P17N",0.0
