,Summary Text,Polarity
0,"Labour's shadow chancellor says the government should focus on why key workers are taking industrial action, rather than pushing for legislation https://t.co/1bz6gWUeNC",0.05
1,"Sky News' James Matthews presses Anne Sacoolas in the US following her sentencing for the death of Harry Dunn by careless driving. 

The former US spy was sentenced to eight months imprisonment, suspended for 12 months.

Read more: https://t.co/FUwbEodAOj https://t.co/Mr8UDcVnXz",0.0
2,"Three evening stories:

✨ Anne Sacoolas avoids jail over death of Harry Dunn https://t.co/ggYegztjyy

✨ 'Potential criminality' at Labour's largest donor, two independent reports find https://t.co/0G6JzBNjWa

✨ Brittney Griner freed in prisoner swap https://t.co/5AJrOw8m6V https://t.co/k04IPgMPog",-0.03333333333333333
3,"Speaking about meeting Prince William and Kate for the first time, Meghan said they ""came over for dinner"" and she was barefoot and wearing ripped jeans https://t.co/S1lgA7V3QO",0.25
4,"Backstage podcast: Harry and Meghan on Netflix, Kate Winslet and Damian Lewis https://t.co/nqlvAyvPgh",0.0
5,"'I want to get to the other side of this'.

The Duke of Sussex spoke about the 'level of hate' against his wife and his son in the Netflix documentary Harry and Meghan.

Read more here: https://t.co/OKZLlNhSb6 https://t.co/Bs6MId1v0C",-0.10625000000000001
6,"People should ""think carefully"" about travelling over Christmas after Border Force workers announced they would go on strike https://t.co/70oxs5hzj3",-0.1
7,Microsoft vows fight as regulators bid to stop £50bn 'Call of Duty' takeover https://t.co/x4d9cPMKow,0.0
8,Record-breaking comedian Peter Kay announces extra dates to already huge tour https://t.co/CpEk1jOpYa,0.20000000000000004
9,Aggreko lines up £110m takeover of London-listed power supplier Crestchic https://t.co/qOhqxUP4Rd,0.0
10,"Sky News understands that neither Buckingham Palace, Kensington Palace, nor any member of the Royal Family were approached for comment on the contents of the series - despite Netflix saying a request was made https://t.co/UpSFGnuj7Z",0.0
11,"BREAKING: The Russian Federal Security Service has released footage of Brittney Griner boarding a plane as she returns to Texas as part of a prisoner's swap.

Read more here: https://t.co/eI0K9xuzVt

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/X70ojuZVlS",0.25
12,Two abattoir workers who slaughtered their victims to death by repeatedly stabbing them have been convicted https://t.co/vr6ifvhLAf,-0.6
13,Tory chairman Nadhim Zahawi tells Labour to hand back Unite donations  https://t.co/8GaZsH8wJK,0.0
14,'It's not for us to decide:' US official refuses to be drawn on Biden's plea to Putin on Ukraine pullout https://t.co/flNuwDqwc8,0.0
15,"The Domestic Homicide Project revealed 62 people died at the hands of a family member and 103 people were killed by an intimate partner in 2021-22, increasing by 55%  https://t.co/eTtqGpeQB6",0.0
16,"Germany's biggest fraud case gets underway in a new, bomb-proof court built underground to try terror suspects https://t.co/5AhzAcrO2d",0.13636363636363635
17,"Tonight on @BethRigby Interviews...

🟣 US @DeputySecState Wendy Sherman

🟣 Jo Sullivan, whose daughter was killed in a hit-and-run in Qatar

⏰ Tonight 9pm
📱 Watch live: https://t.co/5xGmj0hqsU
📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/SqVtsnhXQ1",-0.03181818181818183
