,Tweet Text,Likes,Time
0,"SNP Westminster leader Ian Blackford says 'now is the time to think about new SNP Westminster leadership that can take us forward to the next stage of the campaign for Scotland to become an independent country'

https://t.co/WUnquWvHqf 

📺 Sky 501 and YouTube https://t.co/84WPlGe8kL",0,2022-12-01 16:58:56+00:00
1,"TikTok videos which 'glorify' Russian mercenary violence in Ukraine 'viewed a billion times', reports says https://t.co/NX01s0LktD",5,2022-12-01 16:53:57+00:00
2,"The Prince and Princess of Wales are in the US for the Earthshot Prize awards.

The royal couple are on a three-day visit to Boston but their trip has been overshadowed by comments made by Prince William's godmother to Ngozi Fulani

https://t.co/LsvFDCER6L

📺 Sky 501 and YouTube https://t.co/KUvJiVK8ki",32,2022-12-01 16:45:36+00:00
3,"Ngozi Fulani describes the exchange as a ""violation"" during which she felt ""trapped"" https://t.co/OS3ZdcD3LO",22,2022-12-01 16:40:24+00:00
4,New technology to catch train fare dodgers to be deployed in 'known hotspots' across Northern network https://t.co/EPLJF5NfrE,26,2022-12-01 16:36:56+00:00
5,HSBC head dismisses idea China is trying to get hold of the bank's Asian operations https://t.co/uSy2GyJYr0,10,2022-12-01 16:23:55+00:00
6,"Have a question about climate change? Need something explained about the environment?

@tomheapmedia will be answering your questions during our weekend Climate Show. 

Submit your climate questions by Friday and hear the answers from 3.30pm on Saturday 👇",6,2022-12-01 16:10:00+00:00
7,"'With younger people, they are more likely to believe you're black and British.'

Labour MP @HackneyAbbott tells Sky News there needs to be a ""conversation about language, as well as material examples of racism and disadvantage"".

https://t.co/RAKzCYdRwE

📺 Sky 501 and YouTube https://t.co/IAMUUbFnrY",27,2022-12-01 16:08:54+00:00
8,The one-minute preview features previously unseen black and white photographs of the couple set to music https://t.co/hvFirwgNVY,20,2022-12-01 16:05:27+00:00
9,"Asteroid strike triggered 250-metre mega-tsunami on Mars, scientists believe  https://t.co/VxpmxzKE9U",40,2022-12-01 16:02:53+00:00
10,"""In 2022 people should know better.""

Labour MP @HackneyAbbott tells Sky News she was ""completely shocked"" by Ngozi Fulani's Buckingham Palace exchange with Lady Susan Hussey.

https://t.co/dCUoQ33Bes

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/xiaPtjK78A",16,2022-12-01 16:00:57+00:00
11,"Boris Johnson will be standing as a candidate in the next general election, a source close to him confirmed https://t.co/qNfo7jXKg1",77,2022-12-01 15:57:05+00:00
12,The boy is said to have logged into his mother's Amazon account and ordered the headset the morning after she died https://t.co/YU6w0gGaWe,325,2022-12-01 15:51:32+00:00
13,"Prince William's godmother resigned from her duties at Buckingham Palace after repeatedly asking Ngozi Fulani ""where she really came from"" https://t.co/cuByMnPKqm",42,2022-12-01 15:43:00+00:00
14,Harry Maguire: England and Manchester United star mocked in Ghanaian parliament https://t.co/QgyhCrbeeI,173,2022-12-01 15:32:51+00:00
15,"Watch live: Track the impact of global warming on the world 🌍

This data shows how much temperatures have risen as well as how much carbon dioxide has been emitted since the industrial revolution  https://t.co/tGyg4KrXIa",16,2022-12-01 15:30:00+00:00
16,Ian Blackford has announced he is stepping down from his role as Westminster leader of the SNP https://t.co/69tCpJYqd3,29,2022-12-01 15:13:42+00:00
17,"""Russia has always completely miscalculated the determination of the Ukrainians to remain independent.""

Louise Jones, Head of Intelligence at McKenzie Intelligence Services, updates us on the war in Ukraine.

https://t.co/X3flQUBL0r

📺 Sky 501, Freeview 233 and YouTube https://t.co/yWjTjVq2Dy",32,2022-12-01 15:12:26+00:00
18,"""There can be no hard border on the island of Ireland""

European Commission President Ursula von der Leyen says her meetings with PM Rishi Sunak are ""encouraging"" and insists that 'the EU will stand by the Good Friday Agreement""

https://t.co/WUnquWvHqf 

📺 Sky 501 and YouTube https://t.co/HYPCZlpQ9i",42,2022-12-01 15:00:13+00:00
