,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'engadget', 'name': 'Engadget'}",Jon Fingas,Twitter spam obscures China COVID policy protest news,"You won't have much success finding news of China's growing protests if you search the country's larger cities on Twitter. As TechCrunchreports, analysts have noticed a surge in bots peddling porn and gambling around these queries just as demonstrations flare…",https://www.engadget.com/twitter-spam-hides-china-covid-protests-152534633.html,https://s.yimg.com/os/creatr-uploaded-images/2022-11/2b93cda0-6f10-11ed-bff1-266b5bc853e9,2022-11-28T15:25:34Z,"You won't have much success finding news of China's growing protests if you search the country's larger cities on Twitter. As TechCrunchreports, analysts have noticed a surge in bots peddling porn an… [+2260 chars]"
1,"{'id': 'engadget', 'name': 'Engadget'}",Jon Fingas,Twitter has stopped enforcing its COVID-19 misinformation policy,"Twitter's long-running effort to fight COVID-19 misinformation is at an end, at least for now. As Twitter users and CNNnoticed, the social media firm has quietly updated its transparency site to reveal that it stopped enforcing its COVID misinformation policy…",https://www.engadget.com/twitter-stops-enforcing-covid-19-misinformation-policy-145445252.html,https://s.yimg.com/os/creatr-uploaded-images/2021-10/f70dc710-2394-11ec-bb6f-13e87401c152,2022-11-29T14:54:45Z,"Twitter's long-running effort to fight COVID-19 misinformation is at an end, at least for now. As Twitter users and CNNnoticed, the social media firm has quietly updated its transparency site to reve… [+2349 chars]"
2,"{'id': 'wired', 'name': 'Wired'}",Brenda Stolyar,Cue Health Cue Reader Review: Accurate and Expensive Covid-19 Test Kit,"This at-home diagnostic Covid-19 test kit is ridiculously expensive, but it's accurate and dead simple to use.",https://www.wired.com/review/cue-health-cue-reader/,"https://media.wired.com/photos/636eaa2bafd174dfb58595f8/191:100/w_1280,c_limit/Cue-Reader-(Red-Background)-SOURCE_-CUE-HEALTH-Gear.jpg",2022-11-14T15:00:00Z,"Ive tried a dozen at-home Covid tests over the past year. If its on the shelf at a drugstore, pharmacy, or grocery store, Ive probably used it multiple times. But whenever I open a test like BinaxNow… [+3732 chars]"
3,"{'id': 'wired', 'name': 'Wired'}",Aarian Marshall,The Pandemic Bike Boom Survives—in Cities That Stepped Up,Covid lockdowns prompted a surge of new cyclists. But the trend has faltered in places that didn't build bike-friendly infrastructure.,https://www.wired.com/story/the-pandemic-bike-boom-survives-in-cities-that-stepped-up/,"https://media.wired.com/photos/636eed9792528f1523cb94d7/191:100/w_1280,c_limit/Bicycle-Boom-Business-497658154.jpg",2022-11-14T13:00:00Z,"In 18 years working in bicycles, Eric Bjorling had never seen anything like April 2020. With no end to the pandemic in sight, people were desperate for things to do. They had time on their hands, the… [+3091 chars]"
4,"{'id': 'the-verge', 'name': 'The Verge'}",Ash Parrish,"Wednesday’s top tech news: It’s-a me, another Mario trailer","A new Mario movie trailer shows off more of the Mushroom Kingdom, and covid lockdowns and protests impact production of Apple’s flagship iPhones.",https://www.theverge.com/2022/11/30/23485711/november-30-2022-tech-news-liveblog,https://cdn.vox-cdn.com/thumbor/0bQADUlS9SGs8lE1rTD_U3ntDK4=/0x0:1808x1205/1200x628/filters:focal(904x603:905x604)/cdn.vox-cdn.com/uploads/chorus_asset/file/24243158/Screenshot_2022_11_29_at_5.03.39_PM.jpg,2022-11-30T10:02:34Z,"Mario Mario and Luigi Mario in the new Mario movie trailer. | Screenshot: The Super Mario Bros. Movie

 

 Plus production troubles for Apple’s flagship iPhones. Look, I know a lot of people aren’t … [+963 chars]"
5,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,How China's Covid protests are being silenced,State media are going to great lengths to stop Chinese protests being seen - even overseas.,https://www.bbc.co.uk/news/world-asia-china-63788477,https://ichef.bbci.co.uk/news/1024/branded_news/145C9/production/_127810438_gettyimages-1445197995.jpg,2022-11-28T22:11:21Z,"China's censorship machine is going to great lengths to prevent people seeing scenes of protest in multiple Chinese cities. 
Demonstrations erupted across the country at the weekend in response to s… [+5015 chars]"
6,"{'id': 'cnn', 'name': 'CNN'}",Jamie Gumbrecht,"Paxlovid reduces risk of long Covid, Veterans Affairs study finds","Paxlovid, the antiviral pill that reduces the risk of hospitalization and death from Covid-19, also reduces the risk of long Covid, according to a new study by researchers at the US Department of Veterans Affairs.",https://www.cnn.com/2022/11/06/health/paxlovid-long-covid-va-study/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/220722220136-paxlovid.jpg?c=16x9&q=w_800,c_fill",2022-11-06T21:10:18Z,"Paxlovid, the antiviral pill that reduces the risk of hospitalization and death from Covid-19, also reduces the risk of long Covid, according to a new study by researchers at the US Department of Vet… [+3343 chars]"
7,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,China plans 'crackdown' after Covid protests,Warnings of a crackdown come as Chinese health officials vow to reduce the inconvenience caused by Covid.,https://www.bbc.co.uk/news/world-asia-china-63796135,https://ichef.bbci.co.uk/news/1024/branded_news/AFCA/production/_127820054_gettyimages-1245195148.jpg,2022-11-29T17:11:12Z,"China's top security agency has called for a crackdown on ""hostile forces"" after rare protests against Covid rules in Chinese cities at the weekend.
Police officers have flooded now-empty protest si… [+2581 chars]"
8,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,China Xinjiang: Ten dead in Urumqi residential block fire,The blaze in Urumqi - under Covid restrictions since August - has caused anger online.,https://www.bbc.co.uk/news/world-asia-china-63752407,https://ichef.bbci.co.uk/news/1024/branded_news/5F2F/production/_127776342_fire2.jpg,2022-11-25T09:25:37Z,"Ten people have died in a fire in flats in the city of Urumqi, capital of the western Xinjiang region.
The incident has led to anger online. The city has been under strict Covid restrictions since e… [+1907 chars]"
9,"{'id': 'bbc-news', 'name': 'BBC News'}",,Ros Atkins on... China's crackdown on Covid protests,The BBC's Ros Atkins looks at how authorities have clamped down on protests against Covid measures.,https://www.bbc.co.uk/news/av/63798874,https://ichef.bbci.co.uk/news/1024/branded_news/8AA3/production/_127819453_p0dkqn0k.jpg,2022-11-30T00:33:47Z,"Not only victory, we need justice - Olena Zelenska. Video, 00:00:56Not only victory, we need justice - Olena Zelenska"
