,Tweet Text,Likes,Time
0,"KinderKidz Bismarck is just one daycare where the directors have noticed changes in the “COVID Kids” as compared to other years. They say it isn’t just delays in learning, but troubling behaviors tend to pick up. https://t.co/Z7dYZYwuRG",0,2022-11-30 02:20:00+00:00
1,"KinderKidz Bismarck is just one daycare where the directors have noticed changes in the “COVID Kids” as compared to other years. They say it isn’t just delays in learning, but troubling behaviors tend to pick up. https://t.co/ATfPmKlL6z",0,2022-11-30 02:20:00+00:00
2,"KinderKidz Bismarck is just one daycare where the directors have noticed changes in the “COVID Kids” as compared to other years. They say it isn’t just delays in learning, but troubling behaviors tend to pick up. https://t.co/E0iNj6dMEV",0,2022-11-30 02:20:00+00:00
3,Oh yea and COVID is making a come back. Mask up 😷,0,2022-11-30 02:20:00+00:00
4,"@PChildermass They say patient 0 contracted Covid on a plane the day after infected patients flew on the plane. That’s absurd. And then patient zero ran around outside in a park and transmitted Covid. Also absurd. You can (a) accept this absurd study, or (b) show critical thinking skills.",0,2022-11-30 02:19:59+00:00
5,RT @MarshaBlackburn: Do not be fooled — Democrats are using COVID as an excuse to obtain total control and push their radical socialist age…,0,2022-11-30 02:19:59+00:00
6,"RT @ambiguityx7: @rmantha2 Virus hasn't been given the message  to finish.  People don't want long covid, possible hospitalisation or death…",0,2022-11-30 02:19:59+00:00
7,"RT @Kerrie1303: Anyone know how much hospitals were paid to put Covid as first cause of death on death certificates ?
My dad was a midazola…",0,2022-11-30 02:19:59+00:00
8,@OldGypsyWoman @Squijibo @rhtunstall That sux but you really don’t have a choice. Sepsis is just as real as Covid. Wishing you the best of luck and as early a discharge as possible. My husband and I worry about needing HC too. Especially here.,0,2022-11-30 02:19:59+00:00
9,"@georgehahn If a congresswoman cannot tell the difference between a fart and a respiratory disease which actually took about 10 million lives and have caused pain and suffering on a billion more for 3 years now, how can we have any hope to be done with Covid.",0,2022-11-30 02:19:58+00:00
10,RT @Manning4USCong: @WhiteHouse Another false statement by this White House. In Feb '20 manufacturing employment was 12.861M. As of Oct '22…,0,2022-11-30 02:19:58+00:00
11,"@thevivafrei if you can remember at the begining of all this .covid started  they sade 45% of the world population well die.. the smaller the population easer to control ,,, just saying 🍻✌️",0,2022-11-30 02:19:58+00:00
12,RT @Law_Girl_: The psychological damage from grossly disproportionate lockdowns &amp; restrictions is horrific. Monash Children’s Hospital repo…,0,2022-11-30 02:19:58+00:00
